"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1203",200124,"G49004900008023",490490008023,"50","8",49
"1204",200125,"G49004900009011",490490009011,"65","10",49
"1205",200126,"G49004900009012",490490009012,"43","7",49
"1206",200127,"G49004900009013",490490009013,"50","8",49
"1207",200128,"G49004900009031",490490009031,"32","5",49
"1208",200129,"G49004900009032",490490009032,"28","4",49
"1209",200130,"G49004900009033",490490009033,"27","4",49
"1210",200131,"G49004900009041",490490009041,"34","5",49
"1211",200132,"G49004900009042",490490009042,"22","3",49
"1212",200133,"G49004900010011",490490010011,"36","5",49
"1213",200134,"G49004900010012",490490010012,"38","6",49
"1214",200135,"G49004900010013",490490010013,"30","4",49
"1215",200136,"G49004900010021",490490010021,"35","5",49
"1216",200137,"G49004900010022",490490010022,"22","3",49
"1217",200138,"G49004900011031",490490011031,"18","2",49
"1218",200139,"G49004900011032",490490011032,"36","5",49
"1219",200140,"G49004900011051",490490011051,"24","3",49
"1220",200141,"G49004900011052",490490011052,"40","6",49
"1221",200142,"G49004900011061",490490011061,"35","5",49
"1222",200143,"G49004900011062",490490011062,"37","6",49
"1223",200144,"G49004900011071",490490011071,"20","2",49
"1224",200145,"G49004900011072",490490011072,"34","5",49
"1225",200146,"G49004900011081",490490011081,"57","9",49
"1226",200147,"G49004900011082",490490011082,"62","10",49
"1227",200148,"G49004900012011",490490012011,"30","4",49
"1228",200149,"G49004900012012",490490012012,"26","3",49
"1229",200150,"G49004900012021",490490012021,"53","9",49
"1230",200151,"G49004900012022",490490012022,"29","4",49
"1231",200152,"G49004900012023",490490012023,"47","8",49
"1232",200153,"G49004900013001",490490013001,"17","2",49
"1233",200154,"G49004900013002",490490013002,"40","6",49
"1234",200155,"G49004900013003",490490013003,"32","5",49
"1235",200156,"G49004900014011",490490014011,"GQ","GQ",49
"1236",200157,"G49004900014012",490490014012,"22","3",49
"1237",200158,"G49004900014013",490490014013,"6","1",49
"1238",200159,"G49004900014014",490490014014,"GQ","GQ",49
"1239",200160,"G49004900014021",490490014021,"74","10",49
"1240",200161,"G49004900014022",490490014022,"36","5",49
"1241",200162,"G49004900014023",490490014023,"47","8",49
"1242",200163,"G49004900014024",490490014024,"38","6",49
"1243",200164,"G49004900015011",490490015011,"23","3",49
"1244",200165,"G49004900015012",490490015012,"19","2",49
"1245",200166,"G49004900015013",490490015013,"24","3",49
